folder,dialogueID,date,from,to,text
3,126125.tsv,2008-04-23T14:55:00.000Z,bad_image,,"Hello folks, please help me a bit with the following sentence: 'Order here your personal photos or videos.' - I think the only allowed version is 'Order your personal videos or photos here.', but I'm not sure, are you?"
3,126125.tsv,2008-04-23T14:56:00.000Z,bad_image,,"Did I choose a bad channel? I ask because you seem to be dumb like windows user"
3,126125.tsv,2008-04-23T14:57:00.000Z,lordleemo,bad_image,"the second sentence is better english   and we are not dumb"
3,64545.tsv,2009-08-01T06:22:00.000Z,mechtech,,"Sock Puppe?t"
3,64545.tsv,2009-08-01T06:22:00.000Z,mechtech,,"WTF?"
3,64545.tsv,2009-08-01T06:22:00.000Z,richardcavell,mechtech,"it's a wikipedia term.  There is Prodigy, PRDIGY and prgidy and they're all the same guy"
3,98758.tsv,2009-05-20T07:58:00.000Z,C-00000100,Severity1,"what is bartek trying to do?"
3,98758.tsv,2009-05-20T08:01:00.000Z,C-00000100,Severity1,"is he trying to play online video?"
3,98758.tsv,2009-05-20T08:04:00.000Z,C-00000100,Severity1,"bartek go here, if this doesn't play then it gives you a link to get it... http://www.milkandcookies.com/link/45466/detail/"
3,86303.tsv,2010-08-24T19:56:00.000Z,pozic,Somelauw,"the algorithms from aptitude were ported to apt-get, AFAIK."
3,86303.tsv,2010-08-24T19:56:00.000Z,pozic,Somelauw,"aptitude was more advanced at some point."
3,86303.tsv,2010-09-03T18:41:00.000Z,pozic,Somelauw,"convert probably can do that."
3,122495.tsv,2008-03-12T03:50:00.000Z,Sinnerman,,"is there any reason why my 'network manager' icon in my tray does not scale when the other ones get resized when i change the size of the panel?"
3,122495.tsv,2008-03-12T03:51:00.000Z,Pelo,Sinnerman,"probably not a vector icon"
3,122495.tsv,2008-03-12T03:51:00.000Z,Sinnerman,Pelo,"the other icons aren't vector icons either."
3,208201.tsv,2008-08-21T12:49:00.000Z,BigBuddha,,"how do fix vlc in the terminal?"
3,208201.tsv,2008-08-21T12:50:00.000Z,wols_,BigBuddha,"fix what?"
3,208201.tsv,2008-08-21T12:50:00.000Z,wols_,BigBuddha,"check other programs. same faint sound?"
3,176813.tsv,2007-05-17T12:01:00.000Z,svizzero,,"I installed the 64bit version of ubuntu and I can't open firefox(segfault) and if I try to open nautilus nothing happens and my cpu goes 100%, what can I do???"
3,176813.tsv,2007-05-17T12:02:00.000Z,svizzero,,"Anyone knows why after I installed the 64bit version of ubuntu and I can't open firefox(segfault) and if I try to open nautilus nothing happens and my cpu goes 100%, what can I do???"
3,176813.tsv,2007-05-17T12:03:00.000Z,Louey,svizzero,"i sent you a link on how to install 32 bit"
3,186847.tsv,2008-04-14T17:50:00.000Z,biabia,,"ok, anyone know how I set bios password in ubuntu"
3,186847.tsv,2008-04-14T17:50:00.000Z,biabia,,"already set"
3,186847.tsv,2008-04-14T17:50:00.000Z,Pici,biabia,"you'd need to set that in your BIOS."
3,298924.tsv,2005-06-05T06:42:00.000Z,mr_XP,,"Hello Does Ubuntu have somekind of register to configure applications and os settings?"
3,298924.tsv,2005-06-05T06:44:00.000Z,mr_XP,,"Hello Does Ubuntu have somekind of register to configure applications and os settings?"
3,298924.tsv,2005-06-05T06:45:00.000Z,apollo2011,mr_XP,"Linux doesn't have an equivalent to the Windows registry"
3,69595.tsv,2009-05-16T15:22:00.000Z,leeguy92,,"how do i generate an xorg.conf file?"
3,69595.tsv,2009-05-16T15:23:00.000Z,leeguy92,,"for intel GMAs"
3,69595.tsv,2009-05-16T15:23:00.000Z,ozzmosis,leeguy92,"'sudo xorg -configure', I think"
3,121548.tsv,2008-10-15T07:59:00.000Z,dft,,"anyone else run into issues with cd/dvd burners not identifying blank media installed?"
3,121548.tsv,2008-10-15T08:00:00.000Z,izinucs,dft,"yep.. happened to me with a HP lightscribe cd/dvd burner.. replaced and all is well."
